NumeroIdentificacion,NombrePrestador,NaturalezaJuridica,ESE,DepartamentoPrestador,MunicipioCode,MunicipioPrestador,CantMunicipios,CantSedes,ACTIVOS,RankActivos,PASIVOS,PATRIMONIO,INGRESOS,RankIngresos,GASTOS,COSTOS,UTILIDADES,PERIODO,MargenNeto%
800149384,CLINICA COLSANITAS S A,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,26,98,1434760000000,2,838391000000,596368000000,1974800000000,1,401547280019,1563560000000,9692719981,2023,"0,49"
890324177,FUNDACION VALLE DEL LILI,Privada,NO,VALLE DEL CAUCA,76001,CALI,2,7,1725030000000,1,751848000000,973178000000,1456430000000,2,262011830469,1204890000000,-10466830469,2023,"-0,72"
860007336,CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,18,67,844789000000,14,591994000000,252796000000,1282110000000,3,396044530588,864233000000,21834469412,2023,"1,70301061624978"
900580962,DISFARMA G.C. S.A.S.,Privada,NO,SANTANDER,68276,FLORIDABLANCA,1,1,459941000000,42,274707000000,185234000000,1258730000000,4,133910981032,1085480000000,39340018968,2023,"3,13"
811007832,SERVICIOS DE SALUD IPS SURAMERICANA S.A.S,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,21,75,345862000000,66,289744000000,56117757849,1075100000000,5,333471004595,734280000000,7350995405,2023,"0,68"
890307200,CLÍNICA IMBANACO S.A.S.,Privada,NO,VALLE DEL CAUCA,76001,CALI,2,10,1171850000000,5,818969000000,352883000000,903119000000,6,196096325121,679087000000,27936674879,2023,"3,09"
890102768,ORGANIZACION CLINICA GENERAL DEL NORTE S.A.S.,Privada,NO,ATLÁNTICO,08573,PUERTO COLOMBIA,11,30,899922000000,10,578117000000,321805000000,885916000000,7,176434870834,663285000000,46197129166,2023,"5,21"
800003765,VIRREY SOLIS I.P.S S.A,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,33,97,480325000000,41,267723000000,212602000000,835974000000,8,184695000000,547677000000,103601000000,2023,"12,39"
860037950,FUNDACION SANTA FE DE BOGOTA,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,2,9,1221940000000,3,194123000000,1027820000000,832204000000,9,177096000000,554746000000,100362000000,2023,"12,06"
900219866,MEDICARTE S.A.S,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,16,20,362761000000,59,270184000000,92576894935,822727000000,10,41251388157,759439000000,22036276271,2023,"2,68"
800065396,INSTITUTO DE DIAGNOSTICO MEDICO S.A.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,39,88,496315000000,35,320795000000,175520000000,821913000000,11,97762594707,655370000000,68780405293,2023,"8,37"
890205361,FUNDACION OFTALMOLOGICA DE SANTANDER - FOSCAL,Privada,NO,SANTANDER,68276,FLORIDABLANCA,2,4,1099310000000,7,671311000000,427998000000,811808000000,12,75256265358,732629000000,3923522831,2023,"0,48"
900293923,IPS ESPECIALIZADA S.A.,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,17,17,302246000000,79,285621000000,16624716197,796841000000,13,74053141074,712795000000,9992360438,2023,"1,25"
890901826,HOSPITAL PABLO TOBON URIBE,Privada,NO,ANTIOQUIA,05001,MEDELLÍN,1,2,870484000000,11,279959000000,590526000000,743429000000,14,150918244984,559437000000,33073755016,2023,"4,45"
813001952,CLINICA MEDILASER S.A.S.,Privada,NO,BOYACÁ,15001,TUNJA,3,9,659600000000,22,354905000000,304695000000,733414000000,15,172223739270,502149000000,59041260730,2023,"8,05"
860013570,CAJA DE COMPENSACIÓN FAMILIAR CAFAM,Privada,NO,ATLÁNTICO,08001,BARRANQUILLA,17,47,377130000000,54,365077000000,12053227178,731277000000,16,519007778803,287072000000,-74802778803,2023,"-10,2290621478592"
890212568,FUNDACION CARDIOVASCULAR DE COLOMBIA,Privada,NO,SANTANDER,68276,FLORIDABLANCA,4,10,750906000000,18,370533000000,380373000000,722304000000,17,164720947673,566908000000,-9324947673,2023,"-1,29"
830023202,"COSMITET LTDA ,CORPORACION DE SERVICIOS MEDICOS INTERNACIONALES THEM Y COMPAÑIA LTDA",Privada,NO,VALLE DEL CAUCA,76109,BUENAVENTURA,30,41,605969000000,25,245399000000,360570000000,715129000000,18,186907161991,501642000000,26579838009,2023,"3,72"
860035992,FUNDACION CARDIO INFANTIL INSTITUTO DE CARDIOLOGIA,Privada,NO,BOGOTÁ D.C,11001,BOGOTÁ,1,3,834317000000,15,239759000000,594559000000,705496000000,19,166718146317,469534000000,69244853683,2023,"9,82"
